complaint_id,actual_withdrawal_id,actual_h3_cell,actual_atm_id,actual_withdrawal_timestamp,actual_withdrawal_amount,time_to_cashout_seconds,cashout_occurred
CMP00000046,WDR00000054,884243ab13fffff,ATM001853,2024-12-22T18:12:55,24144.2,4176.0,True
CMP00000046,WDR00000055,883c865189fffff,ATM001457,2024-12-22T18:22:55,12667.21,4776.0,True
CMP00000047,WDR00000056,883cf2c74bfffff,ATM001032,2024-08-01T16:39:28,5335.42,4806.0,True
CMP00000048,WDR00000057,88601cdb1dfffff,ATM001992,2024-10-04T08:47:24,13690.92,1810.0,True
CMP00000049,WDR00000058,883db1b8b7fffff,ATM001742,2024-01-17T11:08:24,2818.22,6058.0,True
CMP00000049,WDR00000059,883d84ca6dfffff,ATM001954,2024-01-17T11:33:40,15383.87,7574.0,True
CMP00000049,WDR00000060,883d84ca6dfffff,ATM001954,2024-01-17T11:56:08,18427.01,8922.0,True
CMP00000050,,,,,,,False
CMP00000051,,,,,,,False
CMP00000052,WDR00000061,883cf2d597fffff,ATM001018,2024-12-20T15:44:59,55449.61,596.0,True
CMP00000053,WDR00000062,8860aac113fffff,ATM001427,2024-02-29T14:59:22,25143.05,927.0,True
CMP00000054,WDR00000063,8860a835abfffff,ATM001892,2024-12-16T17:11:14,17628.98,558.0,True
CMP00000055,,,,,,,False
CMP00000056,WDR00000064,883db609d7fffff,ATM001755,2024-03-31T10:29:50,9137.94,659.0,True
CMP00000057,WDR00000065,883cf38b43fffff,ATM001885,2024-03-03T16:10:02,59779.07,1559.0,True
CMP00000058,WDR00000066,883ca0882dfffff,ATM001857,2024-04-25T16:39:10,1450.78,1246.0,True
CMP00000058,WDR00000067,883ca0882dfffff,ATM001857,2024-04-25T16:51:54,1307.14,2010.0,True
CMP00000058,WDR00000068,8842ceb4b3fffff,ATM000728,2024-04-25T17:20:36,740.82,3732.0,True
CMP00000058,WDR00000069,8842ceb4e5fffff,ATM000572,2024-04-25T17:40:25,677.62,4921.0,True
CMP00000059,WDR00000070,88618c48a1fffff,ATM000126,2024-03-18T18:57:47,264316.57,2074.0,True
CMP00000060,WDR00000071,88608e99c3fffff,ATM001529,2024-09-16T10:39:18,5579.16,4668.0,True
CMP00000060,WDR00000072,88608e99c3fffff,ATM001529,2024-09-16T10:52:14,22594.16,5444.0,True
CMP00000061,,,,,,,False
CMP00000062,WDR00000073,8860aa2599fffff,ATM001437,2024-06-18T21:44:59,14751.88,3805.0,True
CMP00000063,WDR00000074,8860322e41fffff,ATM001736,2024-01-21T17:05:11,4064.57,6054.0,True
CMP00000064,WDR00000075,8860324a8dfffff,ATM001811,2024-04-01T11:58:01,31093.1,13069.0,True
CMP00000065,WDR00000076,886005520dfffff,ATM001554,2024-12-26T21:15:43,8353.41,1331.0,True
CMP00000066,WDR00000077,883da18cb9fffff,ATM001523,2024-04-15T23:58:46,20484.82,1703.0,True
CMP00000067,WDR00000078,883daa9359fffff,ATM001681,2024-02-26T00:00:36,47697.61,10548.0,True
CMP00000068,WDR00000079,883db5205bfffff,ATM001424,2024-06-08T23:04:25,23073.9,8804.0,True
CMP00000069,WDR00000080,883d8dcf47fffff,ATM000035,2024-06-25T22:13:38,227368.37,3911.0,True
CMP00000070,WDR00000081,88608b0f5bfffff,ATM000889,2024-10-17T21:27:27,2281.13,4567.0,True
CMP00000070,WDR00000082,8860a8c94dfffff,ATM001837,2024-10-17T21:35:23,557.31,5043.0,True
CMP00000071,WDR00000083,8860aa2599fffff,ATM001437,2024-06-28T23:32:52,9954.32,1036.0,True
CMP00000072,WDR00000084,883da1bb17fffff,ATM001826,2024-12-19T16:56:15,46426.13,1837.0,True
CMP00000072,WDR00000085,883d1642e5fffff,ATM001779,2024-12-19T17:24:10,265396.36,3512.0,True
CMP00000072,WDR00000086,883da116b1fffff,ATM001393,2024-12-19T17:45:11,14862.65,4773.0,True
CMP00000073,WDR00000087,8842d575e3fffff,ATM001508,2024-12-27T10:10:32,32335.89,1082.0,True
CMP00000074,WDR00000088,8860a07543fffff,ATM001541,2024-07-03T00:31:14,251638.55,5833.0,True
CMP00000074,WDR00000089,8860a07543fffff,ATM001541,2024-07-03T00:49:02,93207.48,6901.0,True
CMP00000074,WDR00000090,8860a07543fffff,ATM001541,2024-07-03T01:15:03,294851.48,8462.0,True
CMP00000074,WDR00000091,8860a07543fffff,ATM001541,2024-07-03T01:43:52,152521.34,10191.0,True
CMP00000075,WDR00000092,886095603bfffff,ATM001946,2024-06-29T23:02:58,7303.66,3987.0,True
CMP00000075,WDR00000093,886095603bfffff,ATM001946,2024-06-29T23:17:08,90253.39,4837.0,True
CMP00000075,WDR00000094,883da218e3fffff,ATM000068,2024-06-29T23:24:37,11478.0,5286.0,True
CMP00000076,WDR00000095,883da389a3fffff,ATM001937,2024-05-08T18:38:43,36115.17,2343.0,True
CMP00000077,WDR00000096,8860a36657fffff,ATM001816,2024-05-27T20:41:08,6054.34,672.0,True
CMP00000078,WDR00000097,883da218ebfffff,ATM000386,2024-08-16T13:04:01,1327.96,1556.0,True
CMP00000078,WDR00000098,883c1cc35bfffff,ATM001783,2024-08-16T13:15:49,782.5,2264.0,True
CMP00000078,WDR00000099,883c1cc35bfffff,ATM001783,2024-08-16T13:23:57,5697.36,2752.0,True
CMP00000078,WDR00000100,883c1cc35bfffff,ATM001783,2024-08-16T13:33:18,1155.97,3313.0,True
CMP00000079,WDR00000101,886084c167fffff,ATM001656,2024-01-26T15:34:17,138711.3,971.0,True
CMP00000080,WDR00000102,883c33a6abfffff,ATM001570,2024-11-01T13:51:52,49040.97,8235.0,True
CMP00000080,WDR00000103,883c334929fffff,ATM001670,2024-11-01T14:08:29,69348.99,9232.0,True
CMP00000081,WDR00000104,8860b410a9fffff,ATM001561,2024-04-08T10:03:59,284069.38,9969.0,True
CMP00000082,WDR00000105,883c1d50ebfffff,ATM001987,2024-12-06T15:27:37,8252.65,2872.0,True
CMP00000083,WDR00000106,883c328f19fffff,ATM001557,2024-12-03T18:44:53,1451.34,6500.0,True
CMP00000083,WDR00000107,883c328f19fffff,ATM001557,2024-12-03T18:54:37,9355.06,7084.0,True
CMP00000084,WDR00000108,883d9240a5fffff,ATM001621,2024-11-03T15:35:40,3310.44,10873.0,True
CMP00000085,WDR00000109,886011a6d3fffff,ATM001489,2024-02-18T03:40:38,26837.98,1984.0,True
CMP00000085,WDR00000110,8860a25b5bfffff,ATM001382,2024-02-18T04:01:41,1311.47,3247.0,True
CMP00000085,WDR00000111,8860a25b5bfffff,ATM001382,2024-02-18T04:16:05,5780.19,4111.0,True
CMP00000086,WDR00000112,883cf2d5a1fffff,ATM000029,2024-01-19T17:25:39,23506.1,9145.0,True
CMP00000087,WDR00000113,88608b0b3bfffff,ATM001259,2024-10-21T23:48:26,3888.67,7005.0,True
CMP00000087,WDR00000114,88608b0b3bfffff,ATM001259,2024-10-22T00:03:56,16199.52,7935.0,True
CMP00000088,WDR00000115,883c1d1ad7fffff,ATM001655,2024-08-23T10:47:27,25265.8,11188.0,True
CMP00000089,WDR00000116,883d91228dfffff,ATM001961,2024-03-29T22:24:01,337732.09,2375.0,True
CMP00000090,WDR00000117,883d8dcd05fffff,ATM000051,2024-11-22T14:26:12,17258.67,7833.0,True
CMP00000091,WDR00000118,8860b60727fffff,ATM001495,2024-07-19T03:26:54,889.76,4215.0,True
CMP00000091,WDR00000119,8860b60727fffff,ATM001495,2024-07-19T03:55:13,172.91,5914.0,True
CMP00000091,WDR00000120,8860b63acdfffff,ATM001844,2024-07-19T04:13:31,256.37,7012.0,True
CMP00000091,WDR00000121,883da21801fffff,ATM000869,2024-07-19T04:22:59,2159.78,7580.0,True
CMP00000092,,,,,,,False
CMP00000093,,,,,,,False
CMP00000094,WDR00000122,8860a2d545fffff,ATM001666,2024-03-28T21:23:47,54580.81,9463.0,True
CMP00000095,WDR00000123,8842cea703fffff,ATM000973,2024-03-05T12:31:56,514.61,1420.0,True
CMP00000095,WDR00000124,8842ceb59bfffff,ATM000236,2024-03-05T12:51:22,23982.75,2586.0,True
CMP00000096,WDR00000125,8860a07861fffff,ATM001975,2024-01-15T18:48:06,255742.01,999.0,True
CMP00000097,WDR00000126,883d902019fffff,ATM001813,2024-07-14T22:49:57,39859.76,1379.0,True
CMP00000098,WDR00000127,883da118c5fffff,ATM001870,2024-10-14T13:56:41,41302.65,628.0,True
CMP00000098,WDR00000128,883da118c5fffff,ATM001870,2024-10-14T14:18:42,50925.01,1949.0,True
CMP00000099,WDR00000129,883da11559fffff,ATM000856,2024-01-27T11:27:12,109800.48,10335.0,True
CMP00000100,WDR00000130,8861980001fffff,ATM001972,2024-12-19T13:00:10,6608.51,3231.0,True
CMP00000101,WDR00000131,8842cbc849fffff,ATM001486,2024-10-12T07:04:43,10529.23,2923.0,True
CMP00000102,WDR00000132,883c346647fffff,ATM001964,2024-08-23T09:41:00,18848.25,2693.0,True
CMP00000102,WDR00000133,883c346647fffff,ATM001964,2024-08-23T09:50:25,12444.16,3258.0,True
CMP00000103,WDR00000134,8860a25ab1fffff,ATM000024,2024-04-18T11:07:59,2957.01,2114.0,True
CMP00000103,WDR00000135,883daa9359fffff,ATM001681,2024-04-18T11:15:58,821.55,2593.0,True
CMP00000103,WDR00000136,883da3935bfffff,ATM001806,2024-04-18T11:28:14,163.52,3329.0,True
CMP00000103,WDR00000137,883da3935bfffff,ATM001806,2024-04-18T11:54:17,5443.0,4892.0,True
CMP00000104,WDR00000138,883db385e9fffff,ATM001840,2024-02-19T12:35:11,34783.41,5319.0,True
CMP00000105,WDR00000139,883db0d455fffff,ATM001915,2024-03-22T16:04:24,110.84,2838.0,True
CMP00000105,WDR00000140,8860a84b63fffff,ATM001706,2024-03-22T16:28:47,199.42,4301.0,True
CMP00000105,WDR00000141,883db010e5fffff,ATM001544,2024-03-22T16:52:07,217.35,5701.0,True
CMP00000105,WDR00000142,883db010e5fffff,ATM001544,2024-03-22T17:01:28,904.63,6262.0,True
CMP00000106,WDR00000143,8860a07861fffff,ATM001975,2024-03-25T11:55:47,5656.71,14162.0,True
CMP00000107,WDR00000144,883d80548bfffff,ATM001901,2024-01-30T18:07:12,169873.27,1844.0,True
CMP00000108,,,,,,,False
CMP00000109,WDR00000145,883c31a99dfffff,ATM001473,2024-02-14T23:29:45,190061.67,2721.0,True
CMP00000109,WDR00000146,883c31a99dfffff,ATM001473,2024-02-14T23:55:21,8248.58,4257.0,True
CMP00000110,WDR00000147,883c1632d9fffff,ATM001565,2024-05-01T16:15:40,7031.8,7966.0,True
CMP00000110,WDR00000148,883c1632d9fffff,ATM001565,2024-05-01T16:24:55,18127.84,8521.0,True
CMP00000111,WDR00000149,883c969a6bfffff,ATM001574,2024-01-27T20:21:58,24131.18,13296.0,True
CMP00000112,WDR00000150,883d98ae05fffff,ATM001620,2024-10-01T12:06:16,115090.79,2481.0,True
CMP00000113,WDR00000151,883cf2d597fffff,ATM001018,2024-05-12T03:28:46,3380.14,11781.0,True
CMP00000114,WDR00000152,883d145833fffff,ATM001538,2024-02-11T07:53:06,22419.69,1554.0,True
CMP00000115,WDR00000153,88619bad2bfffff,ATM001615,2024-04-12T21:57:57,37474.11,3019.0,True
CMP00000116,WDR00000154,886080c4e1fffff,ATM001496,2024-01-30T02:20:15,1372.88,3284.0,True
CMP00000117,WDR00000155,883db120d3fffff,ATM001549,2024-08-27T01:13:49,15436.3,7926.0,True
CMP00000118,WDR00000156,886011a6d3fffff,ATM001489,2024-02-20T17:53:33,13607.67,2429.0,True
CMP00000119,,,,,,,False
CMP00000120,WDR00000157,88608b195bfffff,ATM001234,2024-09-23T19:04:36,16856.02,11332.0,True
CMP00000121,,,,,,,False
CMP00000122,,,,,,,False
CMP00000123,WDR00000158,8842cea29bfffff,ATM000277,2024-02-03T22:12:04,5112.23,3317.0,True
CMP00000123,WDR00000159,883c81889dfffff,ATM001918,2024-02-03T22:30:45,3685.48,4438.0,True
CMP00000123,WDR00000160,883c865189fffff,ATM001457,2024-02-03T22:54:59,62.62,5892.0,True
CMP00000124,WDR00000161,8842c04981fffff,ATM001880,2024-03-27T12:46:19,14675.73,1683.0,True
CMP00000125,WDR00000162,883cab0159fffff,ATM001846,2024-08-09T15:50:28,2133.49,1183.0,True
CMP00000126,WDR00000163,883c102d81fffff,ATM001754,2024-09-24T17:53:23,1726.65,14380.0,True
CMP00000127,WDR00000164,883cf1d439fffff,ATM001694,2024-10-14T21:05:01,182074.79,6558.0,True
CMP00000127,WDR00000165,883cf1d439fffff,ATM001694,2024-10-14T21:31:41,130964.96,8158.0,True
CMP00000128,WDR00000166,883c969a6bfffff,ATM001574,2024-07-23T16:43:14,102129.17,2397.0,True
CMP00000128,WDR00000167,883da20325fffff,ATM000906,2024-07-23T17:08:26,12103.97,3909.0,True
CMP00000129,WDR00000168,8860a50867fffff,ATM001688,2024-12-04T11:12:49,21791.06,482.0,True
CMP00000130,WDR00000169,883da11587fffff,ATM000494,2024-05-18T22:22:06,17875.43,1073.0,True
CMP00000131,WDR00000170,883c116a53fffff,ATM001770,2024-05-12T16:30:25,348.79,3155.0,True
CMP00000131,WDR00000171,883c116a53fffff,ATM001770,2024-05-12T16:59:52,2066.97,4922.0,True
CMP00000132,WDR00000172,886085a9e3fffff,ATM001604,2024-08-02T10:03:36,4130.87,3984.0,True
CMP00000132,WDR00000173,883cf2c66bfffff,ATM000637,2024-08-02T10:17:50,17555.78,4838.0,True
CMP00000133,WDR00000174,886033bacbfffff,ATM001413,2024-12-25T15:04:43,150105.81,952.0,True
CMP00000134,WDR00000175,883da92c6bfffff,ATM001455,2024-02-20T18:34:35,3332.52,2508.0,True
CMP00000135,,,,,,,False
CMP00000136,WDR00000176,8860a25b01fffff,ATM000567,2024-12-21T16:27:04,9064.71,15400.0,True
CMP00000137,WDR00000177,8842cc9ac5fffff,ATM001500,2024-10-05T18:49:19,36778.87,7014.0,True
CMP00000138,WDR00000178,8860117933fffff,ATM001782,2024-06-17T20:35:07,11673.87,8753.0,True
CMP00000139,WDR00000179,8860b335b1fffff,ATM001986,2024-11-05T23:06:40,47762.92,1684.0,True
CMP00000140,WDR00000180,883da16631fffff,ATM001520,2024-02-13T19:44:38,2301.18,2649.0,True
CMP00000140,WDR00000181,883da11447fffff,ATM001162,2024-02-13T20:11:08,3074.85,4239.0,True
CMP00000141,WDR00000182,88608a4e05fffff,ATM001417,2024-10-08T19:12:50,797.66,7879.0,True
CMP00000141,WDR00000183,88608a4e05fffff,ATM001417,2024-10-08T19:32:37,1519.83,9066.0,True
CMP00000142,,,,,,,False
CMP00000143,WDR00000184,8842cbc849fffff,ATM001486,2024-04-09T21:37:14,21289.46,2572.0,True
CMP00000144,WDR00000185,883ca20e47fffff,ATM001900,2024-07-21T02:56:25,2949.07,1848.0,True
CMP00000145,WDR00000186,8860964c21fffff,ATM001909,2024-10-09T13:31:15,2175.11,5028.0,True
CMP00000145,WDR00000187,8860964c21fffff,ATM001909,2024-10-09T13:37:18,237.32,5391.0,True
CMP00000146,WDR00000188,883d9eb6b3fffff,ATM001653,2024-10-24T16:16:04,25269.28,5444.0,True
CMP00000147,WDR00000189,88608b54cbfffff,ATM000378,2024-08-10T17:05:17,3816.3,5009.0,True
CMP00000147,WDR00000190,886005520dfffff,ATM001554,2024-08-10T17:23:57,1544.22,6129.0,True
CMP00000147,WDR00000191,883d94c66dfffff,ATM001863,2024-08-10T17:40:09,1703.71,7101.0,True
CMP00000147,WDR00000192,886005c437fffff,ATM001446,2024-08-10T17:46:19,272.92,7471.0,True
CMP00000148,,,,,,,False
CMP00000149,WDR00000193,88609b8d53fffff,ATM001701,2024-09-12T00:40:55,18882.71,5124.0,True
CMP00000149,WDR00000194,8860982981fffff,ATM001542,2024-09-12T01:02:40,3411.45,6429.0,True
CMP00000150,WDR00000195,8860a8c94dfffff,ATM001837,2024-10-17T21:39:22,2482371.93,13006.0,True
CMP00000151,WDR00000196,8860b675d9fffff,ATM001590,2024-10-01T16:33:56,90510.43,6731.0,True
CMP00000152,,,,,,,False
CMP00000153,WDR00000197,883d8a7351fffff,ATM001833,2024-06-21T20:28:42,49212.03,7014.0,True
CMP00000153,WDR00000198,883d8a1731fffff,ATM001691,2024-06-21T20:55:58,8665.69,8650.0,True
CMP00000154,,,,,,,False
CMP00000155,WDR00000199,8842eabb2dfffff,ATM001910,2024-12-14T18:58:51,1206368.05,1698.0,True
CMP00000156,,,,,,,False
CMP00000157,WDR00000200,8860a835abfffff,ATM001892,2024-02-11T14:35:18,1782.1,3437.0,True
CMP00000158,,,,,,,False
CMP00000159,,,,,,,False
CMP00000160,WDR00000201,8860b5836bfffff,ATM001677,2024-08-24T11:12:29,31049.78,2470.0,True
CMP00000161,WDR00000202,8860b20b5dfffff,ATM001777,2024-09-25T16:22:27,25571.88,2612.0,True
CMP00000162,WDR00000203,883d9db403fffff,ATM001868,2024-07-30T05:58:47,12808.31,2171.0,True
CMP00000163,WDR00000204,883da9856bfffff,ATM001945,2024-05-21T22:38:46,76758.56,2008.0,True
CMP00000164,WDR00000205,883d811601fffff,ATM001469,2024-04-16T01:23:44,12343.54,12620.0,True
CMP00000165,WDR00000206,8860b03155fffff,ATM001687,2024-09-29T17:51:47,103882.68,13062.0,True
CMP00000166,WDR00000207,883da182c9fffff,ATM001606,2024-01-18T09:04:22,12700.35,7088.0,True
CMP00000166,WDR00000208,883d12d19bfffff,ATM001718,2024-01-18T09:32:31,5432.56,8777.0,True
CMP00000166,WDR00000209,883d12d19bfffff,ATM001718,2024-01-18T09:42:12,3494.47,9358.0,True
CMP00000167,,,,,,,False
CMP00000168,WDR00000210,88608b0621fffff,ATM001618,2024-08-05T13:14:49,2893.7,1238.0,True
CMP00000168,WDR00000211,88608b0621fffff,ATM001618,2024-08-05T13:28:23,8363.36,2052.0,True
CMP00000169,WDR00000212,8842ceb599fffff,ATM000720,2024-02-20T15:35:21,201222.65,1073.0,True
CMP00000170,WDR00000213,883d8a7351fffff,ATM001833,2024-07-20T18:31:57,35.96,2767.0,True
CMP00000170,WDR00000214,883d8a7351fffff,ATM001833,2024-07-20T18:59:13,6182.58,4403.0,True
CMP00000170,WDR00000215,883d8a7351fffff,ATM001833,2024-07-20T19:22:22,1032.71,5792.0,True
CMP00000171,WDR00000216,883d99261dfffff,ATM001629,2024-05-06T23:21:16,177776.36,1672.0,True
CMP00000171,WDR00000217,883d99788bfffff,ATM001928,2024-05-06T23:47:21,22218.26,3237.0,True
CMP00000172,WDR00000218,8842db5727fffff,ATM001991,2024-11-28T12:00:22,6438.08,3721.0,True
CMP00000172,WDR00000219,88608a7999fffff,ATM001788,2024-11-28T12:18:22,1121.91,4801.0,True
CMP00000173,WDR00000220,8860145b63fffff,ATM001261,2024-12-17T13:20:04,48616.85,2966.0,True
CMP00000174,WDR00000221,8860964c21fffff,ATM001909,2024-06-20T16:32:56,28348.84,2257.0,True
CMP00000175,WDR00000222,8860b3931bfffff,ATM001617,2024-06-15T16:46:21,9215.37,3104.0,True
CMP00000176,,,,,,,False
CMP00000177,WDR00000223,883da1b8a1fffff,ATM000100,2024-07-16T13:01:07,10662.96,3298.0,True
CMP00000177,WDR00000224,883da114ebfffff,ATM000931,2024-07-16T13:15:35,9481.91,4166.0,True
CMP00000178,WDR00000225,8860162f41fffff,ATM001433,2024-10-11T02:18:30,64952.4,11514.0,True
CMP00000179,WDR00000226,8842ccca61fffff,ATM001623,2024-06-23T12:46:56,5983.08,1749.0,True
CMP00000180,WDR00000227,8860a60c1bfffff,ATM001952,2024-06-29T01:04:34,42410.05,1184.0,True
CMP00000181,WDR00000228,88619a955bfffff,ATM001906,2024-03-08T20:31:18,15553.02,11482.0,True
CMP00000182,WDR00000229,8860159135fffff,ATM001717,2024-05-22T01:23:03,213465.33,3214.0,True
CMP00000183,WDR00000230,8860a84b63fffff,ATM001706,2024-02-10T08:28:46,31551.06,1832.0,True
CMP00000183,WDR00000231,8860a84b63fffff,ATM001706,2024-02-10T08:38:44,29152.44,2430.0,True
CMP00000184,,,,,,,False
CMP00000185,,,,,,,False
CMP00000186,WDR00000232,883da11461fffff,ATM000041,2024-02-25T17:03:19,15867.61,3682.0,True
CMP00000187,WDR00000233,8860b100cbfffff,ATM001531,2024-05-13T14:35:57,20572.59,3283.0,True
CMP00000187,WDR00000234,8860b100cbfffff,ATM001531,2024-05-13T15:05:10,998.69,5036.0,True
CMP00000188,WDR00000235,88608850e1fffff,ATM000082,2024-09-03T15:01:08,64869.98,10228.0,True
CMP00000189,WDR00000236,8860a08d91fffff,ATM001819,2024-06-17T12:16:32,19837.3,3842.0,True
CMP00000190,,,,,,,False
CMP00000191,WDR00000237,883da1ab69fffff,ATM000235,2024-10-02T15:04:08,20765.55,1713.0,True
CMP00000192,WDR00000238,8860ae6abbfffff,ATM001518,2024-12-11T23:20:52,1034053.35,2953.0,True
CMP00000192,WDR00000239,886026d615fffff,ATM001791,2024-12-11T23:29:15,83390.37,3456.0,True
CMP00000193,WDR00000240,8842d575e3fffff,ATM001508,2024-11-14T19:32:06,10369.71,2611.0,True
CMP00000194,,,,,,,False
CMP00000195,WDR00000241,883da886bbfffff,ATM001848,2024-05-23T14:20:59,6345.62,4630.0,True
CMP00000195,WDR00000242,883daeb15bfffff,ATM001676,2024-05-23T14:42:46,8836.67,5937.0,True
CMP00000196,WDR00000243,88611a4011fffff,ATM001894,2024-01-05T13:35:31,8718.34,10964.0,True
CMP00000197,WDR00000244,883d1eca57fffff,ATM001850,2024-11-10T10:32:10,6824.9,3702.0,True
CMP00000197,WDR00000245,883d1eca57fffff,ATM001850,2024-11-10T10:54:59,9044.11,5071.0,True
