atm_id,latitude,longitude,state,city,h3_cell_res8,h3_cell_res9,source
ATM000050,28.505531,77.325343,Uttar Pradesh,Delhi,883da10737fffff,893da10736bffff,SYNTHETIC_REFERENCE
ATM000051,26.823728,80.943858,Uttar Pradesh,Lucknow,883d8dcd05fffff,893d8dcd043ffff,SYNTHETIC_REFERENCE
ATM000052,23.041505,72.574268,Rajasthan,Ahmedabad,8842ceb4b5fffff,8942ceb4b43ffff,SYNTHETIC_REFERENCE
ATM000053,26.833656,80.961011,Uttar Pradesh,Lucknow,883d8dcd03fffff,893d8dcd027ffff,SYNTHETIC_REFERENCE
ATM000054,26.887998,75.772164,Rajasthan,Jaipur,883da219d9fffff,893da219d8bffff,SYNTHETIC_REFERENCE
ATM000055,22.512229,88.310999,West Bengal,Kolkata,883cf2c769fffff,893cf2c7613ffff,SYNTHETIC_REFERENCE
ATM000056,26.864541,80.899944,Uttar Pradesh,Lucknow,883d8dcf67fffff,893d8dcf667ffff,SYNTHETIC_REFERENCE
ATM000057,19.077589,72.877518,Maharashtra,Mumbai,88608b0b61fffff,89608b0b60bffff,SYNTHETIC_REFERENCE
ATM000058,28.61419,77.20961,Uttar Pradesh,Delhi,883da11463fffff,893da11462fffff,SYNTHETIC_REFERENCE
ATM000059,18.952833,72.704482,Maharashtra,Mumbai,88608b0e45fffff,89608b0e44fffff,SYNTHETIC_REFERENCE
ATM000060,17.391418,78.651138,Maharashtra,Hyderabad,8860b521bbfffff,8960b52194fffff,SYNTHETIC_REFERENCE
ATM000061,17.536617,78.550212,Maharashtra,Hyderabad,8860b19293fffff,8960b19745bffff,SYNTHETIC_REFERENCE
ATM000062,12.968183,77.599277,Karnataka,Bangalore,88618925a7fffff,89618925a2bffff,SYNTHETIC_REFERENCE
ATM000063,26.901379,75.78806,Rajasthan,Jaipur,883da218e7fffff,893da218e77ffff,SYNTHETIC_REFERENCE
ATM000064,17.380221,78.509489,Maharashtra,Hyderabad,8860a25b45fffff,8960a25b44fffff,SYNTHETIC_REFERENCE
ATM000065,12.987173,77.549008,Karnataka,Bangalore,8860145b11fffff,8960145b10fffff,SYNTHETIC_REFERENCE
ATM000066,22.553913,88.414981,West Bengal,Kolkata,883cf2c6e5fffff,893cf2c6e47ffff,SYNTHETIC_REFERENCE
ATM000067,28.60897,77.182468,Uttar Pradesh,Delhi,883da11733fffff,893da117333ffff,SYNTHETIC_REFERENCE
ATM000068,26.908002,75.789707,Rajasthan,Jaipur,883da218e3fffff,893da218e37ffff,SYNTHETIC_REFERENCE
ATM000069,19.119043,72.976629,Maharashtra,Mumbai,88608b5711fffff,89608b5710bffff,SYNTHETIC_REFERENCE
ATM000070,26.858175,80.974255,Uttar Pradesh,Lucknow,883d8dcc21fffff,893d8dcc21bffff,SYNTHETIC_REFERENCE
ATM000071,23.021708,72.565665,Rajasthan,Ahmedabad,8842ceb593fffff,8942ceb5937ffff,SYNTHETIC_REFERENCE
ATM000072,28.593762,77.198624,Uttar Pradesh,Delhi,883da11551fffff,893da115507ffff,SYNTHETIC_REFERENCE
ATM000073,19.133754,72.863502,Maharashtra,Mumbai,88608b54b7fffff,89608b54b77ffff,SYNTHETIC_REFERENCE
ATM000074,26.921894,75.756775,Rajasthan,Jaipur,883da21819fffff,893da21818fffff,SYNTHETIC_REFERENCE
ATM000075,23.066376,72.584184,Rajasthan,Ahmedabad,8842ceb497fffff,8942ceb490fffff,SYNTHETIC_REFERENCE
ATM000076,23.062425,72.557498,Rajasthan,Ahmedabad,8842ceb481fffff,8942ceb4813ffff,SYNTHETIC_REFERENCE
ATM000077,23.063783,72.47557,Rajasthan,Ahmedabad,8842ceb441fffff,8942ceb4403ffff,SYNTHETIC_REFERENCE
ATM000078,19.078939,72.900437,Maharashtra,Mumbai,88608b56b9fffff,89608b56b8bffff,SYNTHETIC_REFERENCE
ATM000079,17.360697,78.465667,Maharashtra,Hyderabad,8860a25a25fffff,8960a25a247ffff,SYNTHETIC_REFERENCE
ATM000080,28.706243,77.043107,Uttar Pradesh,Delhi,883da18c6dfffff,893da18c6d7ffff,SYNTHETIC_REFERENCE
ATM000081,26.906123,75.795673,Rajasthan,Jaipur,883da21885fffff,893da21885bffff,SYNTHETIC_REFERENCE
ATM000082,18.522751,73.842059,Maharashtra,Pune,88608850e1fffff,89608850e03ffff,SYNTHETIC_REFERENCE
ATM000083,17.399543,78.455948,Maharashtra,Hyderabad,8860a25865fffff,8960a258643ffff,SYNTHETIC_REFERENCE
ATM000084,19.071533,72.869708,Maharashtra,Mumbai,88608b0b63fffff,89608b0b633ffff,SYNTHETIC_REFERENCE
ATM000085,17.359365,78.460521,Maharashtra,Hyderabad,8860a25a27fffff,8960a25a277ffff,SYNTHETIC_REFERENCE
ATM000086,17.375575,78.481024,Maharashtra,Hyderabad,8860a25b1dfffff,8960a25b1d3ffff,SYNTHETIC_REFERENCE
ATM000087,23.01565,72.474393,Rajasthan,Ahmedabad,8842ceb557fffff,8942ceb557bffff,SYNTHETIC_REFERENCE
ATM000088,18.520938,73.861662,Maharashtra,Pune,8860885015fffff,8960885014fffff,SYNTHETIC_REFERENCE
ATM000089,26.948501,75.793125,Rajasthan,Jaipur,883da21ab3fffff,893da21ab3bffff,SYNTHETIC_REFERENCE
ATM000090,13.049651,80.242714,Tamil Nadu,Chennai,88618c4f21fffff,89618c4f20bffff,SYNTHETIC_REFERENCE
ATM000091,28.618201,77.251006,Uttar Pradesh,Delhi,883da1143bfffff,893da1143afffff,SYNTHETIC_REFERENCE
ATM000092,22.997433,72.552254,Gujarat,Ahmedabad,8842ceb5b1fffff,8942ceb5b1bffff,SYNTHETIC_REFERENCE
ATM000093,23.029569,72.570451,Rajasthan,Ahmedabad,8842cea64dfffff,8942cea64c7ffff,SYNTHETIC_REFERENCE
ATM000094,22.563566,88.33554,West Bengal,Kolkata,883cf2d5bbfffff,893cf2d596bffff,SYNTHETIC_REFERENCE
ATM000095,22.97189,72.597904,Gujarat,Ahmedabad,8842cea717fffff,8942cea7173ffff,SYNTHETIC_REFERENCE
ATM000096,12.997176,80.037103,Tamil Nadu,Chennai,88618c782dfffff,89618c782c3ffff,SYNTHETIC_REFERENCE
ATM000097,22.5771,88.368633,West Bengal,Kolkata,883cf2c609fffff,893cf2c6093ffff,SYNTHETIC_REFERENCE
ATM000098,13.075527,80.222829,Tamil Nadu,Chennai,88618c4d6bfffff,89618c4d6b7ffff,SYNTHETIC_REFERENCE
ATM000099,19.074876,72.885775,Maharashtra,Mumbai,88608b0b6dfffff,89608b0b6dbffff,SYNTHETIC_REFERENCE
ATM000100,28.758372,77.307181,Uttar Pradesh,Delhi,883da1b8a1fffff,893da1b8a1bffff,SYNTHETIC_REFERENCE
ATM000101,19.088534,72.912681,Maharashtra,Mumbai,88608b56a1fffff,89608b56a07ffff,SYNTHETIC_REFERENCE
ATM000102,18.522878,73.877548,Maharashtra,Pune,8860885007fffff,89608850073ffff,SYNTHETIC_REFERENCE
ATM000103,17.424733,78.506408,Maharashtra,Hyderabad,8860b52c99fffff,8960b52c99bffff,SYNTHETIC_REFERENCE
ATM000104,22.652123,88.402763,West Bengal,Kolkata,883cf28b37fffff,893cf28b377ffff,SYNTHETIC_REFERENCE
ATM000105,26.849851,80.978111,Uttar Pradesh,Lucknow,883d8dcd1bfffff,893d8dcd1b7ffff,SYNTHETIC_REFERENCE
ATM000106,13.017962,77.549752,Karnataka,Bangalore,8860145b37fffff,8960145b36fffff,SYNTHETIC_REFERENCE
ATM000107,13.06232,80.26554,Tamil Nadu,Chennai,88618c48d5fffff,89618c48d47ffff,SYNTHETIC_REFERENCE
ATM000108,22.998227,72.617848,Gujarat,Ahmedabad,8842cea635fffff,8942cea634fffff,SYNTHETIC_REFERENCE
ATM000109,13.036888,77.591547,Karnataka,Bangalore,8861892c9dfffff,8961892c9c3ffff,SYNTHETIC_REFERENCE
ATM000110,18.965846,72.83372,Maharashtra,Mumbai,88608b1897fffff,89608b1897bffff,SYNTHETIC_REFERENCE
ATM000111,12.968374,77.594827,Karnataka,Bangalore,8860145b49fffff,8960145b497ffff,SYNTHETIC_REFERENCE
ATM000112,28.395253,77.106158,Uttar Pradesh,Delhi,883da118a3fffff,893da118a33ffff,SYNTHETIC_REFERENCE
ATM000113,26.866034,80.989068,Uttar Pradesh,Lucknow,883d8dcc3dfffff,893d8dcc3dbffff,SYNTHETIC_REFERENCE
ATM000114,26.920368,75.816469,Rajasthan,Jaipur,883da2189dfffff,893da2189cbffff,SYNTHETIC_REFERENCE
ATM000115,18.542074,73.873182,Maharashtra,Pune,8860885023fffff,8960885022fffff,SYNTHETIC_REFERENCE
ATM000116,26.912594,75.769804,Rajasthan,Jaipur,883da21817fffff,893da218167ffff,SYNTHETIC_REFERENCE
ATM000117,26.882946,75.731975,Rajasthan,Jaipur,883da21825fffff,893da218257ffff,SYNTHETIC_REFERENCE
ATM000118,28.631959,77.198927,Uttar Pradesh,Delhi,883da11445fffff,893da114457ffff,SYNTHETIC_REFERENCE
ATM000119,26.907208,75.79094,Rajasthan,Jaipur,883da218e3fffff,893da218e23ffff,SYNTHETIC_REFERENCE
ATM000120,22.713912,88.356788,West Bengal,Kolkata,883cf29987fffff,893cf29986fffff,SYNTHETIC_REFERENCE
ATM000121,26.84777,75.768526,Rajasthan,Jaipur,883da219a9fffff,893da219a83ffff,SYNTHETIC_REFERENCE
ATM000122,26.877196,75.78183,Rajasthan,Jaipur,883da219d7fffff,893da219d63ffff,SYNTHETIC_REFERENCE
ATM000123,17.456422,78.53392,Maharashtra,Hyderabad,8860b52ca9fffff,8960b52cad7ffff,SYNTHETIC_REFERENCE
ATM000124,28.704993,77.316249,Uttar Pradesh,Delhi,883da1ab5dfffff,893da1ab5d7ffff,SYNTHETIC_REFERENCE
ATM000125,12.986766,77.519721,Karnataka,Bangalore,8860145809fffff,89601458083ffff,SYNTHETIC_REFERENCE
ATM000126,13.101965,80.274502,Tamil Nadu,Chennai,88618c48a1fffff,89618c48a0bffff,SYNTHETIC_REFERENCE
ATM000127,26.91068,75.804931,Rajasthan,Jaipur,883da21881fffff,893da21880bffff,SYNTHETIC_REFERENCE
ATM000128,26.996634,75.84528,Rajasthan,Jaipur,883da2022dfffff,893da2022d3ffff,SYNTHETIC_REFERENCE
ATM000129,19.045101,72.866507,Maharashtra,Mumbai,88608b0b4bfffff,89608b0b4a3ffff,SYNTHETIC_REFERENCE
ATM000130,22.547513,88.384864,West Bengal,Kolkata,883cf2c635fffff,893cf2c6353ffff,SYNTHETIC_REFERENCE
ATM000131,13.051472,80.246298,Tamil Nadu,Chennai,88618c4f25fffff,89618c4f257ffff,SYNTHETIC_REFERENCE
ATM000132,13.007982,77.573516,Karnataka,Bangalore,8860145b2bfffff,8960145b2a3ffff,SYNTHETIC_REFERENCE
ATM000133,28.756558,77.200992,Uttar Pradesh,Delhi,883da1bb31fffff,893da1bb30fffff,SYNTHETIC_REFERENCE
ATM000134,17.426179,78.648759,Maharashtra,Hyderabad,8860b52f43fffff,8960b52f42fffff,SYNTHETIC_REFERENCE
ATM000135,26.892492,80.992735,Uttar Pradesh,Lucknow,883d8dcc1dfffff,893d8dcc1d3ffff,SYNTHETIC_REFERENCE
ATM000136,17.292831,78.576986,Maharashtra,Hyderabad,8860b5246dfffff,8960b5246cfffff,SYNTHETIC_REFERENCE
ATM000137,22.632701,88.293444,West Bengal,Kolkata,883cf2d41dfffff,893cf2d41d7ffff,SYNTHETIC_REFERENCE
ATM000138,23.027062,72.553824,Rajasthan,Ahmedabad,8842ceb599fffff,8942ceb5987ffff,SYNTHETIC_REFERENCE
ATM000139,17.411983,78.502757,Maharashtra,Hyderabad,8860a25b2dfffff,8960a25b253ffff,SYNTHETIC_REFERENCE
ATM000140,26.86672,80.989401,Uttar Pradesh,Lucknow,883d8dcc3dfffff,893d8dcc3dbffff,SYNTHETIC_REFERENCE
ATM000141,26.771236,81.070113,Uttar Pradesh,Lucknow,883d8d5731fffff,893d8d5730bffff,SYNTHETIC_REFERENCE
ATM000142,12.906499,77.511731,Karnataka,Bangalore,886014512bfffff,896014512afffff,SYNTHETIC_REFERENCE
ATM000143,13.154833,80.351073,Unknown,Chennai,88618c4935fffff,89618e86c97ffff,SYNTHETIC_REFERENCE
ATM000144,17.420364,78.467456,Maharashtra,Hyderabad,8860a25943fffff,8960a259427ffff,SYNTHETIC_REFERENCE
ATM000145,12.903931,77.538931,Karnataka,Bangalore,8860145165fffff,89601451643ffff,SYNTHETIC_REFERENCE
ATM000146,19.104535,72.937108,Maharashtra,Mumbai,88608b5455fffff,89608b54547ffff,SYNTHETIC_REFERENCE
ATM000147,18.514284,73.861457,Maharashtra,Pune,8860885015fffff,89608850157ffff,SYNTHETIC_REFERENCE
ATM000148,22.570438,88.367048,West Bengal,Kolkata,883cf2c60dfffff,893cf2c60d7ffff,SYNTHETIC_REFERENCE
ATM000149,19.088874,72.880229,Maharashtra,Mumbai,88608b54d9fffff,89608b54d87ffff,SYNTHETIC_REFERENCE
ATM000150,13.018481,77.582743,Karnataka,Bangalore,8860145b2dfffff,8960145b2cfffff,SYNTHETIC_REFERENCE
ATM000151,26.866889,80.942138,Uttar Pradesh,Lucknow,883d8dcf33fffff,893d8dcf333ffff,SYNTHETIC_REFERENCE
ATM000152,12.955999,77.634128,Karnataka,Bangalore,8861892533fffff,89618925327ffff,SYNTHETIC_REFERENCE
ATM000153,28.606237,77.212533,Uttar Pradesh,Delhi,883da11429fffff,893da11428bffff,SYNTHETIC_REFERENCE
ATM000154,13.07469,80.259578,Tamil Nadu,Chennai,88618c4883fffff,89618c48837ffff,SYNTHETIC_REFERENCE
ATM000155,26.819419,80.918122,Uttar Pradesh,Lucknow,883d8dcd6dfffff,893d8dcd6cfffff,SYNTHETIC_REFERENCE
ATM000156,12.974189,77.597177,Karnataka,Bangalore,8860145b49fffff,8960145b4d7ffff,SYNTHETIC_REFERENCE
ATM000157,18.525313,73.828373,Maharashtra,Pune,8860885085fffff,8960885085bffff,SYNTHETIC_REFERENCE
ATM000158,23.211772,72.649484,Rajasthan,Ahmedabad,8842cc6115fffff,8942cc6115bffff,SYNTHETIC_REFERENCE
ATM000159,13.038484,77.619918,Karnataka,Bangalore,8861892cc7fffff,8961892cc7bffff,SYNTHETIC_REFERENCE
ATM000160,23.035214,72.569634,Rajasthan,Ahmedabad,8842cea649fffff,8942cea6493ffff,SYNTHETIC_REFERENCE
ATM000161,17.389855,78.49333,Maharashtra,Hyderabad,8860a25b05fffff,8960a25b057ffff,SYNTHETIC_REFERENCE
ATM000162,18.518428,73.861766,Maharashtra,Pune,8860885015fffff,8960885014fffff,SYNTHETIC_REFERENCE
ATM000163,18.518973,73.854152,Maharashtra,Pune,8860885017fffff,8960885016fffff,SYNTHETIC_REFERENCE
ATM000164,22.330881,88.348459,West Bengal,Kolkata,883cf2cc25fffff,893cf2cc253ffff,SYNTHETIC_REFERENCE
ATM000165,19.109564,72.794454,Maharashtra,Mumbai,88608b09e9fffff,89608b09e97ffff,SYNTHETIC_REFERENCE
ATM000166,26.899837,75.82397,Rajasthan,Jaipur,883da218b1fffff,893da218b0bffff,SYNTHETIC_REFERENCE
ATM000167,17.352225,78.481108,Maharashtra,Hyderabad,8860a25b5bfffff,8960a25b5b7ffff,SYNTHETIC_REFERENCE
ATM000168,28.725022,77.344885,Uttar Pradesh,Delhi,883da1aa05fffff,893da1aa05bffff,SYNTHETIC_REFERENCE
ATM000169,19.057516,72.884384,Maharashtra,Mumbai,88608b5693fffff,89608b56937ffff,SYNTHETIC_REFERENCE
ATM000170,22.553571,88.387048,West Bengal,Kolkata,883cf2c63dfffff,893cf2c63c7ffff,SYNTHETIC_REFERENCE
ATM000171,18.547814,73.80163,Maharashtra,Pune,8860884243fffff,89608842437ffff,SYNTHETIC_REFERENCE
ATM000172,19.076121,72.876953,Maharashtra,Mumbai,88608b0b61fffff,89608b0b61bffff,SYNTHETIC_REFERENCE
ATM000173,22.542413,88.383267,West Bengal,Kolkata,883cf2c635fffff,893cf2c635bffff,SYNTHETIC_REFERENCE
ATM000174,12.989886,77.596224,Karnataka,Bangalore,8860145b45fffff,8960145b44bffff,SYNTHETIC_REFERENCE
ATM000175,18.520428,73.850029,Maharashtra,Pune,88608850edfffff,89608850ed7ffff,SYNTHETIC_REFERENCE
ATM000176,28.596304,77.204453,Uttar Pradesh,Delhi,883da11553fffff,893da115537ffff,SYNTHETIC_REFERENCE
ATM000177,18.532362,73.857995,Maharashtra,Pune,8860885033fffff,8960885033bffff,SYNTHETIC_REFERENCE
ATM000178,17.480737,78.471675,Maharashtra,Hyderabad,8860b19611fffff,8960b196103ffff,SYNTHETIC_REFERENCE
ATM000179,26.870273,80.940229,Uttar Pradesh,Lucknow,883d8dcf3bfffff,893d8dcf3afffff,SYNTHETIC_REFERENCE
ATM000180,28.65986,77.252071,Uttar Pradesh,Delhi,883da116abfffff,893da116aabffff,SYNTHETIC_REFERENCE
ATM000181,17.278144,78.520006,Maharashtra,Hyderabad,8860b52413fffff,8960b52412bffff,SYNTHETIC_REFERENCE
ATM000182,28.654923,77.242018,Uttar Pradesh,Delhi,883da116adfffff,893da116ac7ffff,SYNTHETIC_REFERENCE
ATM000183,26.855288,80.959793,Uttar Pradesh,Lucknow,883d8dcd53fffff,893d8dcd533ffff,SYNTHETIC_REFERENCE
ATM000184,26.910157,75.761039,Rajasthan,Jaipur,883da21817fffff,893da21817bffff,SYNTHETIC_REFERENCE
ATM000185,12.950638,77.615678,Karnataka,Bangalore,88618925e3fffff,89618925e2bffff,SYNTHETIC_REFERENCE
ATM000186,18.453185,73.875353,Maharashtra,Pune,88608852cdfffff,89608852cc3ffff,SYNTHETIC_REFERENCE
ATM000187,26.99899,75.708425,Rajasthan,Jaipur,883da21163fffff,893da211633ffff,SYNTHETIC_REFERENCE
ATM000188,22.577693,88.342474,West Bengal,Kolkata,883cf2d593fffff,893cf2d5937ffff,SYNTHETIC_REFERENCE
ATM000189,22.561243,88.332911,West Bengal,Kolkata,883cf2d5bbfffff,893cf2d5ba3ffff,SYNTHETIC_REFERENCE
ATM000190,12.96877,77.70691,Karnataka,Bangalore,8861892e4bfffff,8961892e4b3ffff,SYNTHETIC_REFERENCE
ATM000191,19.278395,72.930734,Maharashtra,Mumbai,88608b40e1fffff,89608b40e0fffff,SYNTHETIC_REFERENCE
ATM000192,26.87663,75.796793,Rajasthan,Jaipur,883da21999fffff,893da21998fffff,SYNTHETIC_REFERENCE
ATM000193,26.803307,80.870522,Uttar Pradesh,Lucknow,883d8dc8adfffff,893d8dc8acfffff,SYNTHETIC_REFERENCE
ATM000194,18.492068,73.822872,Maharashtra,Pune,88608850ddfffff,89608850dc7ffff,SYNTHETIC_REFERENCE
ATM000195,17.424976,78.505646,Maharashtra,Hyderabad,8860b52c99fffff,8960b52c98bffff,SYNTHETIC_REFERENCE
ATM000196,17.432004,78.554943,Maharashtra,Hyderabad,8860b52c13fffff,8960b52c13bffff,SYNTHETIC_REFERENCE
ATM000197,22.971941,72.566731,Gujarat,Ahmedabad,8842cea709fffff,8942cea7083ffff,SYNTHETIC_REFERENCE
ATM000198,26.915075,75.787924,Rajasthan,Jaipur,883da218ebfffff,893da218ea7ffff,SYNTHETIC_REFERENCE
ATM000199,26.911435,75.784052,Rajasthan,Jaipur,883da218ebfffff,893da218ea3ffff,SYNTHETIC_REFERENCE
ATM000200,23.023493,72.571257,Rajasthan,Ahmedabad,8842cea645fffff,8942cea6453ffff,SYNTHETIC_REFERENCE
ATM000201,18.577846,73.839899,Maharashtra,Pune,88608851b9fffff,89608851b8bffff,SYNTHETIC_REFERENCE
ATM000202,19.056909,72.904641,Maharashtra,Mumbai,88608b56d7fffff,89608b56d6bffff,SYNTHETIC_REFERENCE
ATM000203,28.548602,77.31194,Uttar Pradesh,Delhi,883da10753fffff,893da10752bffff,SYNTHETIC_REFERENCE
ATM000204,26.90811,75.779994,Rajasthan,Jaipur,883da218e1fffff,893da218e17ffff,SYNTHETIC_REFERENCE
ATM000205,18.522135,73.861359,Maharashtra,Pune,886088503bfffff,896088503b3ffff,SYNTHETIC_REFERENCE
ATM000206,19.006631,72.761853,Maharashtra,Mumbai,88608b0a83fffff,89608b0a837ffff,SYNTHETIC_REFERENCE
ATM000207,28.61385,77.210797,Uttar Pradesh,Delhi,883da11463fffff,893da11462fffff,SYNTHETIC_REFERENCE
ATM000208,18.654278,73.937387,Maharashtra,Pune,8860885a27fffff,8960885a26bffff,SYNTHETIC_REFERENCE
ATM000209,19.038898,73.01173,Maharashtra,Mumbai,88608bcce7fffff,89608bcce67ffff,SYNTHETIC_REFERENCE
ATM000210,28.588476,77.180048,Uttar Pradesh,Delhi,883da11543fffff,893da115437ffff,SYNTHETIC_REFERENCE
ATM000211,22.574917,88.371263,West Bengal,Kolkata,883cf2c609fffff,893cf2c6083ffff,SYNTHETIC_REFERENCE
ATM000212,18.469802,73.81032,Maharashtra,Pune,8860885761fffff,896088576abffff,SYNTHETIC_REFERENCE
ATM000213,18.499013,73.828868,Maharashtra,Pune,88608850c3fffff,89608850c37ffff,SYNTHETIC_REFERENCE
ATM000214,13.171904,77.64936,Karnataka,Bangalore,88601692b5fffff,89601692b47ffff,SYNTHETIC_REFERENCE
ATM000215,23.027689,72.554877,Rajasthan,Ahmedabad,8842ceb59bfffff,8942ceb59b3ffff,SYNTHETIC_REFERENCE
