complaint_id,incident_date,incident_time,incident_datetime,complaint_registered_at,incident_details,fraud_type,fraud_amount,victim_state,victim_pincode,victim_lat,victim_lon,victim_account_id,source_system,data_version,behavioral_profile
CMP00000019,2024-09-08,10:17:26,2024-09-08T10:17:26,2024-09-08T12:06:45,Victim transferred INR 51512 to fake mutual fund agent.,INVESTMENT_FRAUD,51511.86,Gujarat,381640,22.132139,69.950638,ACCT00005019,SYNTHETIC,2.0.0,DEEP_MULE_CHAIN
CMP00000020,2024-03-07,13:19:47,2024-03-07T13:19:47,2024-03-07T14:01:42,Victim shared OTP after phishing call; INR 12324 debited.,PHISHING,12323.9,Gujarat,388533,23.790046,73.224172,ACCT00005020,SYNTHETIC,2.0.0,DEEP_MULE_CHAIN
CMP00000021,2024-07-24,17:20:05,2024-07-24T17:20:05,2024-07-24T18:00:58,Victim received fake payment link; INR 7558 debited without authorization.,DIGITAL_PAYMENT_FRAUD,7558.28,Gujarat,399716,21.402916,72.20944,ACCT00005021,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000022,2024-02-28,16:52:06,2024-02-28T16:52:06,2024-02-28T17:05:57,Online fraud complaint filed for INR 14439.,OTHER,14439.24,Telangana,528885,16.158588,80.806128,ACCT00005022,SYNTHETIC,2.0.0,NO_CASHOUT
CMP00000023,2024-07-26,05:36:52,2024-07-26T05:36:52,2024-07-26T06:02:49,Victim reported unauthorized UPI transaction of INR 53389.,DIGITAL_PAYMENT_FRAUD,53389.04,Madhya Pradesh,464867,21.419836,74.729803,ACCT00005023,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000024,2024-12-17,21:37:19,2024-12-17T21:37:19,2024-12-17T23:13:10,Impersonation of law enforcement; victim coerced into transferring INR 451568.,DIGITAL_ARREST,451567.96,Tamil Nadu,625142,8.364749,77.815705,ACCT00005024,SYNTHETIC,2.0.0,DEEP_MULE_CHAIN
CMP00000025,2024-04-11,13:58:54,2024-04-11T13:58:54,2024-04-11T15:33:08,Phishing email led to unauthorized transfer of INR 57833.,PHISHING,57832.92,Madhya Pradesh,461609,21.519989,80.265338,ACCT00005025,SYNTHETIC,2.0.0,SLOW_CASHOUT
CMP00000026,2024-11-26,19:28:04,2024-11-26T19:28:04,2024-11-26T20:50:52,Victim reported loss of INR 59601 via online fraud.,OTHER,59601.29,Delhi,111706,28.430548,77.050912,ACCT00005026,SYNTHETIC,2.0.0,MULTIPLE_CASHOUT
CMP00000027,2024-12-17,14:06:37,2024-12-17T14:06:37,2024-12-17T15:26:47,Cyber fraud reported; INR 134457 lost through unspecified method.,OTHER,134457.13,Gujarat,365287,21.659987,71.176052,ACCT00005027,SYNTHETIC,2.0.0,DEEP_MULE_CHAIN
CMP00000028,2024-01-02,23:31:51,2024-01-02T23:31:51,2024-01-03T01:09:45,Online fraud complaint filed for INR 563710.,OTHER,563709.66,Rajasthan,301590,24.791419,74.912343,ACCT00005028,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000029,2024-02-09,08:20:32,2024-02-09T08:20:32,2024-02-09T09:39:55,Victim received fake payment link; INR 18301 debited without authorization.,DIGITAL_PAYMENT_FRAUD,18300.56,Delhi,117684,28.542349,76.887557,ACCT00005029,SYNTHETIC,2.0.0,MULTIPLE_CASHOUT
CMP00000030,2024-05-08,21:10:41,2024-05-08T21:10:41,2024-05-08T22:39:39,Victim reported unauthorized UPI transaction of INR 2356.,DIGITAL_PAYMENT_FRAUD,2355.62,Kerala,685909,11.971877,76.247222,ACCT00005030,SYNTHETIC,2.0.0,SLOW_CASHOUT
CMP00000031,2024-02-04,08:35:33,2024-02-04T08:35:33,2024-02-04T10:32:41,Fraudulent trading platform collected INR 36237 from victim.,INVESTMENT_FRAUD,36237.14,Telangana,508423,16.885303,80.805891,ACCT00005031,SYNTHETIC,2.0.0,COORDINATED_CASE
CMP00000032,2024-07-24,11:15:35,2024-07-24T11:15:35,2024-07-24T11:29:36,Cyber fraud reported; INR 45528 lost through unspecified method.,OTHER,45527.5,Delhi,119846,28.485313,76.86278,ACCT00005032,SYNTHETIC,2.0.0,DEEP_MULE_CHAIN
CMP00000033,2024-02-05,18:02:37,2024-02-05T18:02:37,2024-02-05T19:27:42,Victim received fake payment link; INR 15255 debited without authorization.,DIGITAL_PAYMENT_FRAUD,15254.58,Telangana,507102,18.895273,78.40386,ACCT00005033,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000034,2024-10-16,12:33:42,2024-10-16T12:33:42,2024-10-16T12:55:45,Victim threatened with digital arrest; paid INR 37075 under duress.,DIGITAL_ARREST,37074.75,Madhya Pradesh,477081,22.645456,76.952001,ACCT00005034,SYNTHETIC,2.0.0,DEEP_MULE_CHAIN
CMP00000035,2024-09-06,12:34:37,2024-09-06T12:34:37,2024-09-06T12:40:52,Fraudulent trading platform collected INR 80396 from victim.,INVESTMENT_FRAUD,80396.27,Madhya Pradesh,496400,22.218154,82.47548,ACCT00005035,SYNTHETIC,2.0.0,MULTIPLE_CASHOUT
CMP00000036,2024-10-02,14:11:16,2024-10-02T14:11:16,2024-10-02T14:50:14,Victim lured into fake investment scheme; lost INR 130877.,INVESTMENT_FRAUD,130877.44,Kerala,686339,10.626683,76.436151,ACCT00005036,SYNTHETIC,2.0.0,SLOW_CASHOUT
CMP00000037,2024-02-10,15:36:19,2024-02-10T15:36:19,2024-02-10T16:32:25,Impersonation of law enforcement; victim coerced into transferring INR 144255.,DIGITAL_ARREST,144254.75,Telangana,521166,17.39253,80.89342,ACCT00005037,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000038,2024-03-15,10:04:08,2024-03-15T10:04:08,2024-03-15T11:46:25,Victim's banking credentials phished; INR 17051 stolen.,PHISHING,17051.17,Gujarat,399081,23.149812,69.793271,ACCT00005038,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000039,2024-11-11,15:49:45,2024-11-11T15:49:45,2024-11-11T17:17:48,Victim reported unauthorized UPI transaction of INR 1129.,DIGITAL_PAYMENT_FRAUD,1129.47,West Bengal,705861,24.609983,88.771731,ACCT00005039,SYNTHETIC,2.0.0,DEEP_MULE_CHAIN
CMP00000040,2024-01-08,19:52:59,2024-01-08T19:52:59,2024-01-08T20:50:02,Fraudulent digital payment of INR 17918 detected from victim account.,DIGITAL_PAYMENT_FRAUD,17918.01,Telangana,521159,16.427414,80.297178,ACCT00005040,SYNTHETIC,2.0.0,COORDINATED_CASE
CMP00000041,2024-10-29,10:09:17,2024-10-29T10:09:17,2024-10-29T10:59:33,Fraudulent trading platform collected INR 111700 from victim.,INVESTMENT_FRAUD,111699.69,Uttar Pradesh,273881,26.123859,77.578925,ACCT00005041,SYNTHETIC,2.0.0,NO_CASHOUT
CMP00000042,2024-02-28,22:50:13,2024-02-28T22:50:13,2024-02-29T00:00:18,Victim's banking credentials phished; INR 44392 stolen.,PHISHING,44391.73,Telangana,525597,18.840944,80.167072,ACCT00005042,SYNTHETIC,2.0.0,COORDINATED_CASE
CMP00000043,2024-07-13,08:14:42,2024-07-13T08:14:42,2024-07-13T08:19:20,Victim's banking credentials phished; INR 20120 stolen.,PHISHING,20119.68,Gujarat,398681,22.046213,74.244973,ACCT00005043,SYNTHETIC,2.0.0,MULTIPLE_CASHOUT
CMP00000044,2024-09-21,10:07:22,2024-09-21T10:07:22,2024-09-21T11:09:08,Victim reported unauthorized UPI transaction of INR 8026.,DIGITAL_PAYMENT_FRAUD,8025.98,Bihar,807825,25.64797,83.351713,ACCT00005044,SYNTHETIC,2.0.0,DEEP_MULE_CHAIN
CMP00000045,2024-04-03,17:08:34,2024-04-03T17:08:34,2024-04-03T18:46:13,Fraudulent digital payment of INR 2772 detected from victim account.,DIGITAL_PAYMENT_FRAUD,2771.98,Uttar Pradesh,243222,24.393653,80.171696,ACCT00005045,SYNTHETIC,2.0.0,SLOW_CASHOUT
CMP00000046,2024-12-22,16:14:18,2024-12-22T16:14:18,2024-12-22T17:03:19,Victim lured into fake investment scheme; lost INR 56314.,INVESTMENT_FRAUD,56313.81,Rajasthan,316309,29.494469,71.827104,ACCT00005046,SYNTHETIC,2.0.0,MULTIPLE_CASHOUT
CMP00000047,2024-08-01,14:18:38,2024-08-01T14:18:38,2024-08-01T15:19:22,Victim received fake payment link; INR 12439 debited without authorization.,DIGITAL_PAYMENT_FRAUD,12439.37,West Bengal,704290,26.660846,87.973739,ACCT00005047,SYNTHETIC,2.0.0,COORDINATED_CASE
CMP00000048,2024-10-04,07:36:37,2024-10-04T07:36:37,2024-10-04T08:17:14,Phishing email led to unauthorized transfer of INR 33070.,PHISHING,33070.11,Karnataka,596320,12.908286,74.740814,ACCT00005048,SYNTHETIC,2.0.0,DEEP_MULE_CHAIN
CMP00000049,2024-01-17,09:11:51,2024-01-17T09:11:51,2024-01-17T09:27:26,Fraudulent digital payment of INR 45618 detected from victim account.,DIGITAL_PAYMENT_FRAUD,45617.55,Rajasthan,339970,26.302558,76.497176,ACCT00005049,SYNTHETIC,2.0.0,MULTIPLE_CASHOUT
CMP00000050,2024-09-04,14:27:01,2024-09-04T14:27:01,2024-09-04T16:26:37,Victim received fake payment link; INR 105962 debited without authorization.,DIGITAL_PAYMENT_FRAUD,105962.48,West Bengal,735640,26.626713,89.478733,ACCT00005050,SYNTHETIC,2.0.0,NO_CASHOUT
CMP00000051,2024-08-31,08:31:09,2024-08-31T08:31:09,2024-08-31T09:00:22,Victim lured into fake investment scheme; lost INR 1008490.,INVESTMENT_FRAUD,1008490.37,Uttar Pradesh,249825,28.950809,78.347817,ACCT00005051,SYNTHETIC,2.0.0,NO_CASHOUT
CMP00000052,2024-12-20,14:57:16,2024-12-20T14:57:16,2024-12-20T15:35:03,Cyber fraud reported; INR 72410 lost through unspecified method.,OTHER,72409.69,West Bengal,718364,22.142996,88.407364,ACCT00005052,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000053,2024-02-29,12:52:49,2024-02-29T12:52:49,2024-02-29T14:43:55,Fraudulent trading platform collected INR 35269 from victim.,INVESTMENT_FRAUD,35268.74,Maharashtra,402698,16.618207,75.789685,ACCT00005053,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000054,2024-12-16,15:40:33,2024-12-16T15:40:33,2024-12-16T17:01:56,Fraudulent digital payment of INR 30652 detected from victim account.,DIGITAL_PAYMENT_FRAUD,30651.91,Karnataka,584137,15.279097,74.156025,ACCT00005054,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000055,2024-07-31,21:03:28,2024-07-31T21:03:28,2024-07-31T21:47:49,Victim shared OTP after phishing call; INR 6891 debited.,PHISHING,6890.85,Karnataka,582603,15.240291,74.078587,ACCT00005055,SYNTHETIC,2.0.0,SLOW_CASHOUT
CMP00000056,2024-03-31,08:21:08,2024-03-31T08:21:08,2024-03-31T10:18:51,Victim shared OTP after phishing call; INR 16715 debited.,PHISHING,16714.51,Gujarat,375127,24.243901,73.606091,ACCT00005056,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000057,2024-03-03,13:46:20,2024-03-03T13:46:20,2024-03-03T15:44:03,Victim lured into fake investment scheme; lost INR 86569.,INVESTMENT_FRAUD,86569.19,West Bengal,734635,23.140134,89.833082,ACCT00005057,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000058,2024-04-25,15:00:54,2024-04-25T15:00:54,2024-04-25T16:18:24,Victim received fake payment link; INR 10038 debited without authorization.,DIGITAL_PAYMENT_FRAUD,10037.79,Madhya Pradesh,491992,23.716114,82.520783,ACCT00005058,SYNTHETIC,2.0.0,MULTIPLE_CASHOUT
CMP00000059,2024-03-18,18:01:49,2024-03-18T18:01:49,2024-03-18T18:23:13,Victim lured into fake investment scheme; lost INR 312412.,INVESTMENT_FRAUD,312412.4,Karnataka,586463,13.65501,78.038573,ACCT00005059,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000060,2024-09-16,08:52:58,2024-09-16T08:52:58,2024-09-16T09:21:30,Victim threatened with digital arrest; paid INR 39198 under duress.,DIGITAL_ARREST,39197.95,Maharashtra,433080,18.385756,74.856833,ACCT00005060,SYNTHETIC,2.0.0,COORDINATED_CASE
CMP00000061,2024-09-21,09:46:15,2024-09-21T09:46:15,2024-09-21T10:19:31,Phishing email led to unauthorized transfer of INR 44924.,PHISHING,44923.84,Gujarat,397346,24.456103,74.110703,ACCT00005061,SYNTHETIC,2.0.0,DEEP_MULE_CHAIN
CMP00000062,2024-06-18,19:28:01,2024-06-18T19:28:01,2024-06-18T20:41:34,Victim lured into fake investment scheme; lost INR 25049.,INVESTMENT_FRAUD,25049.37,Karnataka,571339,16.024009,74.487948,ACCT00005062,SYNTHETIC,2.0.0,COORDINATED_CASE
CMP00000063,2024-01-21,14:18:13,2024-01-21T14:18:13,2024-01-21T15:24:17,Victim's banking credentials phished; INR 4657 stolen.,PHISHING,4656.93,Tamil Nadu,612157,12.060746,77.432139,ACCT00005063,SYNTHETIC,2.0.0,NO_CASHOUT
CMP00000064,2024-04-01,08:06:33,2024-04-01T08:06:33,2024-04-01T08:20:12,Phishing email led to unauthorized transfer of INR 69812.,PHISHING,69812.37,Tamil Nadu,625674,12.356347,78.069657,ACCT00005064,SYNTHETIC,2.0.0,SLOW_CASHOUT
CMP00000065,2024-12-26,20:28:48,2024-12-26T20:28:48,2024-12-26T20:53:32,Victim shared OTP after phishing call; INR 14928 debited.,PHISHING,14927.5,Kerala,695472,9.825192,75.054845,ACCT00005065,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000066,2024-04-15,22:16:09,2024-04-15T22:16:09,2024-04-15T23:30:23,Fraudulent digital payment of INR 26752 detected from victim account.,DIGITAL_PAYMENT_FRAUD,26751.56,Rajasthan,336087,29.421815,76.805898,ACCT00005066,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000067,2024-02-25,19:24:21,2024-02-25T19:24:21,2024-02-25T21:04:48,Victim threatened with digital arrest; paid INR 64940 under duress.,DIGITAL_ARREST,64940.13,Uttar Pradesh,204810,27.84558,78.477815,ACCT00005067,SYNTHETIC,2.0.0,SLOW_CASHOUT
CMP00000068,2024-06-08,19:29:52,2024-06-08T19:29:52,2024-06-08T20:37:41,Victim reported loss of INR 36260 via online fraud.,OTHER,36259.61,Madhya Pradesh,461431,26.496671,74.883697,ACCT00005068,SYNTHETIC,2.0.0,SLOW_CASHOUT
CMP00000069,2024-06-25,20:35:24,2024-06-25T20:35:24,2024-06-25T21:08:27,Fake police/CBI call led victim to transfer INR 361658.,DIGITAL_ARREST,361657.9,Gujarat,397815,22.662029,72.467575,ACCT00005069,SYNTHETIC,2.0.0,DEEP_MULE_CHAIN
CMP00000070,2024-10-17,18:20:10,2024-10-17T18:20:10,2024-10-17T20:11:20,Victim received fake payment link; INR 4576 debited without authorization.,DIGITAL_PAYMENT_FRAUD,4575.7,Maharashtra,404010,16.143771,75.512123,ACCT00005070,SYNTHETIC,2.0.0,MULTIPLE_CASHOUT
CMP00000071,2024-06-28,22:02:30,2024-06-28T22:02:30,2024-06-28T23:15:36,Phishing email led to unauthorized transfer of INR 14121.,PHISHING,14121.36,Maharashtra,413869,16.633955,74.24977,ACCT00005071,SYNTHETIC,2.0.0,COORDINATED_CASE
CMP00000072,2024-12-19,16:09:00,2024-12-19T16:09:00,2024-12-19T16:25:38,Victim threatened with digital arrest; paid INR 484713 under duress.,DIGITAL_ARREST,484713.28,Delhi,111441,28.683722,77.220541,ACCT00005072,SYNTHETIC,2.0.0,MULTIPLE_CASHOUT
CMP00000073,2024-12-27,09:14:44,2024-12-27T09:14:44,2024-12-27T09:52:30,Impersonation of law enforcement; victim coerced into transferring INR 56989.,DIGITAL_ARREST,56988.72,Gujarat,386057,21.545505,68.807879,ACCT00005073,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000074,2024-07-02,21:17:52,2024-07-02T21:17:52,2024-07-02T22:54:01,Victim lured into fake investment scheme; lost INR 1622566.,INVESTMENT_FRAUD,1622566.02,Telangana,523402,15.936645,77.342939,ACCT00005074,SYNTHETIC,2.0.0,MULTIPLE_CASHOUT
CMP00000075,2024-06-29,20:43:45,2024-06-29T20:43:45,2024-06-29T21:56:31,Victim threatened with digital arrest; paid INR 248911 under duress.,DIGITAL_ARREST,248910.68,Maharashtra,425935,20.095367,77.138723,ACCT00005075,SYNTHETIC,2.0.0,MULTIPLE_CASHOUT
CMP00000076,2024-05-08,16:01:50,2024-05-08T16:01:50,2024-05-08T17:59:40,Victim lured into fake investment scheme; lost INR 51964.,INVESTMENT_FRAUD,51964.45,Haryana,122586,27.661452,76.474622,ACCT00005076,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000077,2024-05-27,19:41:00,2024-05-27T19:41:00,2024-05-27T20:29:56,Victim's banking credentials phished; INR 13245 stolen.,PHISHING,13245.32,Maharashtra,404250,16.631013,76.442925,ACCT00005077,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000078,2024-08-16,11:41:18,2024-08-16T11:41:18,2024-08-16T12:38:05,Victim reported unauthorized UPI transaction of INR 18769.,DIGITAL_PAYMENT_FRAUD,18768.79,Bihar,849002,26.447314,85.834969,ACCT00005078,SYNTHETIC,2.0.0,MULTIPLE_CASHOUT
CMP00000079,2024-01-26,14:47:19,2024-01-26T14:47:19,2024-01-26T15:18:06,Victim threatened with digital arrest; paid INR 249667 under duress.,DIGITAL_ARREST,249666.82,Maharashtra,438690,17.467476,77.658869,ACCT00005079,SYNTHETIC,2.0.0,COORDINATED_CASE
CMP00000080,2024-11-01,10:20:57,2024-11-01T10:20:57,2024-11-01T11:34:37,Impersonation of law enforcement; victim coerced into transferring INR 193245.,DIGITAL_ARREST,193244.65,Uttar Pradesh,277674,27.367591,83.825961,ACCT00005080,SYNTHETIC,2.0.0,DEEP_MULE_CHAIN
CMP00000081,2024-04-08,06:16:28,2024-04-08T06:16:28,2024-04-08T07:17:50,Victim lured into fake investment scheme; lost INR 593193.,INVESTMENT_FRAUD,593193.12,Telangana,511252,17.54053,80.202255,ACCT00005081,SYNTHETIC,2.0.0,SLOW_CASHOUT
CMP00000082,2024-12-06,13:34:28,2024-12-06T13:34:28,2024-12-06T14:39:45,Fraudulent digital payment of INR 10618 detected from victim account.,DIGITAL_PAYMENT_FRAUD,10618.06,Uttar Pradesh,283684,28.313189,83.859407,ACCT00005082,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000083,2024-12-03,16:35:02,2024-12-03T16:35:02,2024-12-03T16:56:33,Victim received fake payment link; INR 27953 debited without authorization.,DIGITAL_PAYMENT_FRAUD,27953.22,Uttar Pradesh,284745,27.945195,82.547976,ACCT00005083,SYNTHETIC,2.0.0,DEEP_MULE_CHAIN
CMP00000084,2024-11-03,12:03:31,2024-11-03T12:03:31,2024-11-03T12:34:27,Fraudulent trading platform collected INR 8611 from victim.,INVESTMENT_FRAUD,8611.27,Madhya Pradesh,494297,21.782409,75.770422,ACCT00005084,SYNTHETIC,2.0.0,SLOW_CASHOUT
CMP00000085,2024-02-18,02:42:46,2024-02-18T02:42:46,2024-02-18T03:07:34,Victim received fake payment link; INR 57516 debited without authorization.,DIGITAL_PAYMENT_FRAUD,57516.08,Karnataka,566976,12.182217,75.172878,ACCT00005085,SYNTHETIC,2.0.0,MULTIPLE_CASHOUT
CMP00000086,2024-01-19,14:27:17,2024-01-19T14:27:17,2024-01-19T14:53:14,Online fraud complaint filed for INR 64752.,OTHER,64752.38,Madhya Pradesh,497639,23.082954,79.26272,ACCT00005086,SYNTHETIC,2.0.0,DEEP_MULE_CHAIN
CMP00000087,2024-10-21,20:51:27,2024-10-21T20:51:27,2024-10-21T21:51:41,Victim received fake payment link; INR 39548 debited without authorization.,DIGITAL_PAYMENT_FRAUD,39547.85,Uttar Pradesh,238060,25.503278,80.535551,ACCT00005087,SYNTHETIC,2.0.0,MULTIPLE_CASHOUT
CMP00000088,2024-08-23,07:35:01,2024-08-23T07:35:01,2024-08-23T07:40:59,Victim lured into fake investment scheme; lost INR 57686.,INVESTMENT_FRAUD,57686.06,West Bengal,729282,26.224981,89.646264,ACCT00005088,SYNTHETIC,2.0.0,SLOW_CASHOUT
CMP00000089,2024-03-29,20:24:17,2024-03-29T20:24:17,2024-03-29T21:44:26,Victim transferred INR 487881 to fake mutual fund agent.,INVESTMENT_FRAUD,487880.7,Punjab,148471,30.304595,75.444807,ACCT00005089,SYNTHETIC,2.0.0,FAST_CASHOUT
CMP00000090,2024-11-22,10:38:11,2024-11-22T10:38:11,2024-11-22T12:15:39,Victim reported unauthorized UPI transaction of INR 22148.,DIGITAL_PAYMENT_FRAUD,22147.79,Haryana,133570,27.978755,76.332785,ACCT00005090,SYNTHETIC,2.0.0,SLOW_CASHOUT
CMP00000091,2024-07-19,00:50:31,2024-07-19T00:50:31,2024-07-19T02:16:39,Victim transferred INR 5896 to fake mutual fund agent.,INVESTMENT_FRAUD,5896.21,Telangana,505729,18.764144,80.142981,ACCT00005091,SYNTHETIC,2.0.0,MULTIPLE_CASHOUT
CMP00000092,2024-10-31,23:23:59,2024-10-31T23:23:59,2024-10-31T23:26:17,Victim reported unauthorized UPI transaction of INR 57740.,DIGITAL_PAYMENT_FRAUD,57740.23,Madhya Pradesh,467952,26.42127,80.353354,ACCT00005092,SYNTHETIC,2.0.0,MULTIPLE_CASHOUT
CMP00000093,2024-08-04,16:32:15,2024-08-04T16:32:15,2024-08-04T17:47:22,Fraudulent digital payment of INR 15792 detected from victim account.,DIGITAL_PAYMENT_FRAUD,15792.23,Maharashtra,428073,17.784263,76.770948,ACCT00005093,SYNTHETIC,2.0.0,NO_CASHOUT
CMP00000094,2024-03-28,18:23:06,2024-03-28T18:23:06,2024-03-28T18:46:04,Fraudulent digital payment of INR 70675 detected from victim account.,DIGITAL_PAYMENT_FRAUD,70675.35,Maharashtra,427071,16.720948,78.540373,ACCT00005094,SYNTHETIC,2.0.0,SLOW_CASHOUT
CMP00000095,2024-03-05,11:37:51,2024-03-05T11:37:51,2024-03-05T12:08:16,Impersonation of law enforcement; victim coerced into transferring INR 48423.,DIGITAL_ARREST,48422.94,Karnataka,586760,15.581048,75.132441,ACCT00005095,SYNTHETIC,2.0.0,COORDINATED_CASE
CMP00000096,2024-01-15,16:38:01,2024-01-15T16:38:01,2024-01-15T18:31:27,Victim threatened with digital arrest; paid INR 281806 under duress.,DIGITAL_ARREST,281805.61,Maharashtra,416001,16.41203,77.184086,ACCT00005096,SYNTHETIC,2.0.0,FAST_CASHOUT
